date,boxscore,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles_lost,away_interceptions,away_pass_touchdowns,away_pass_yards,away_penalties,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles_lost,home_interceptions,home_pass_touchdowns,home_pass_yards,home_penalties,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked
"Thursday Sep 10, 2015",201509100nwe,23,2,2,0,1,1,351,8,1,134,15,7,32:05,3,26,0,0,0,0,4,288,7,0,80,11,7,27:55,2
"Sunday Sep 13, 2015",201509130buf,23,2,1,1,2,2,243,5,0,64,15,8,29:04,2,15,0,0,0,0,1,195,11,2,147,13,5,30:56,0
"Sunday Sep 13, 2015",201509130chi,21,1,1,0,0,3,189,10,1,133,10,6,28:08,0,25,3,2,0,1,1,225,6,1,189,17,11,31:52,2
"Sunday Sep 13, 2015",201509130crd,18,1,0,0,1,1,355,7,0,54,18,7,33:24,2,25,0,0,1,0,3,307,5,1,120,10,5,26:36,0
"Sunday Sep 13, 2015",201509130dal,18,0,0,0,0,0,189,5,1,99,14,6,22:50,1,27,0,0,1,2,3,356,3,0,80,11,6,37:10,0
"Sunday Sep 13, 2015",201509130den,11,1,1,0,2,0,117,3,0,73,13,2,22:43,2,16,0,0,0,1,0,175,8,0,69,18,8,37:17,4
"Sunday Sep 13, 2015",201509130htx,19,0,0,0,0,3,243,2,0,97,13,3,35:19,2,24,1,0,1,1,2,334,6,0,98,14,3,24:41,5
"Sunday Sep 13, 2015",201509130jax,17,1,1,0,1,1,175,3,0,105,17,8,34:06,2,18,2,1,1,2,1,183,3,0,96,12,3,25:54,5
"Sunday Sep 13, 2015",201509130nyj,15,2,1,4,1,1,231,12,0,104,16,8,31:40,3,18,1,0,0,1,2,179,4,2,154,13,7,28:20,0
"Sunday Sep 13, 2015",201509130rai,22,1,1,0,0,2,269,6,2,127,13,4,32:32,0,16,3,2,1,1,2,203,5,0,63,12,3,27:28,2
"Sunday Sep 13, 2015",201509130ram,21,2,1,0,1,1,251,7,0,124,19,8,37:28,6,19,0,0,3,0,1,297,4,2,76,11,6,28:32,2
"Sunday Sep 13, 2015",201509130sdg,16,0,0,0,2,2,246,4,1,69,10,3,21:48,1,28,0,0,1,2,2,403,5,2,96,11,6,38:12,2
"Sunday Sep 13, 2015",201509130tam,20,0,0,1,0,4,209,8,1,124,9,4,31:30,2,16,4,2,0,2,2,210,12,0,92,14,3,28:30,4
"Sunday Sep 13, 2015",201509130was,19,1,0,1,0,1,226,6,0,74,12,5,22:06,3,20,1,0,0,2,1,196,11,0,161,14,6,37:54,1
"Monday Sep 14, 2015",201509140atl,23,1,1,0,2,1,336,10,2,63,12,3,24:33,0,21,0,0,0,2,2,298,7,0,105,14,4,35:27,1
"Monday Sep 14, 2015",201509140sfo,17,2,0,0,1,0,231,5,0,71,9,1,26:58,5,25,0,0,1,0,0,165,8,2,230,12,5,33:02,1
"Thursday Sep 17, 2015",201509170kan,21,1,0,0,1,3,256,8,0,61,16,6,31:01,3,20,0,0,3,2,0,191,9,2,147,7,0,28:59,5
